idlezione	idfoglio	idsettimana
L0000957	F0000	W0000
L0000958	F0000	W0000
L0000959	F0000	W0000
L0000960	F0000	W0000
L0000961	F0000	W0000
L0000962	F0000	W0000
L0000963	F0000	W0000
L0000964	F0000	W0000
L0000965	F0000	W0000
L0000966	F0000	W0000
L0000967	F0000	W0000
L0000968	F0000	W0000
L0000969	F0000	W0000
L0000970	F0000	W0000
L0000971	F0000	W0000
L0000972	F0000	W0000
L0000973	F0000	W0000
L0000974	F0000	W0000
L0000975	F0000	W0000
L0000976	F0000	W0000
L0000977	F0000	W0000
L0000978	F0000	W0000
L0000979	F0000	W0000
L0000980	F0000	W0000
L0000981	F0000	W0000
L0000982	F0000	W0000
L0000983	F0000	W0000
L0000984	F0000	W0000
L0000985	F0000	W0000
L0000986	F0000	W0000
L0000987	F0000	W0000
L0000988	F0000	W0000
L0000989	F0000	W0000
L0000990	F0000	W0000
L0000991	F0000	W0000
L0000992	F0000	W0000
L0000993	F0000	W0000
L0000994	F0000	W0000
L0000995	F0000	W0000
L0000996	F0000	W0000
L0000997	F0000	W0000
L0000998	F0000	W0000
L0000999	F0000	W0000
L0001000	F0000	W0000
L0001001	F0000	W0000
L0001002	F0000	W0000
L0001003	F0000	W0000
L0001004	F0000	W0000
L0001005	F0000	W0000
L0001006	F0000	W0000
L0001007	F0000	W0000
L0001008	F0000	W0000
L0001009	F0000	W0000
L0001010	F0000	W0000
L0001011	F0000	W0000
L0001012	F0000	W0000
L0001013	F0000	W0000
L0001014	F0000	W0000
L0001015	F0000	W0000
L0001016	F0000	W0000
L0001017	F0000	W0000
L0001018	F0000	W0000
L0001019	F0000	W0000
L0001020	F0000	W0000
L0001021	F0000	W0000
L0001022	F0000	W0000
L0001023	F0000	W0000
L0001024	F0000	W0000
L0001025	F0000	W0000
L0001026	F0000	W0000
L0001027	F0000	W0000
L0001028	F0000	W0000
L0001029	F0000	W0000
L0001030	F0000	W0000
L0001031	F0000	W0000
L0001032	F0000	W0000
L0001033	F0000	W0000
L0001034	F0000	W0000
L0001035	F0000	W0000
L0001036	F0000	W0000
L0001037	F0000	W0000
L0001038	F0000	W0000
L0001039	F0000	W0000
L0001040	F0000	W0000
L0001041	F0000	W0000
L0001042	F0000	W0000
L0001043	F0000	W0000
L0001044	F0000	W0000
L0001045	F0000	W0000
L0001046	F0000	W0000
L0001047	F0000	W0000
L0001048	F0000	W0000
L0001049	F0000	W0000
L0001050	F0000	W0000
L0001051	F0000	W0000
L0001052	F0000	W0000
L0001053	F0000	W0000
L0001054	F0000	W0000
L0001055	F0000	W0000
L0001056	F0000	W0000
L0001057	F0000	W0000
L0001058	F0000	W0000
L0001059	F0000	W0000
L0001060	F0000	W0000
